id_cliente,nombre_cliente,email,telefono,puntos
1,Cliente_1,cliente1@mail.com,0000000001,394
2,Cliente_2,cliente2@mail.com,0000000002,212
3,Cliente_3,cliente3@mail.com,0000000003,290
4,Cliente_4,cliente4@mail.com,0000000004,240
5,Cliente_5,cliente5@mail.com,0000000005,332
6,Cliente_6,cliente6@mail.com,0000000006,552
7,Cliente_7,cliente7@mail.com,0000000007,443
8,Cliente_8,cliente8@mail.com,0000000008,506
9,Cliente_9,cliente9@mail.com,0000000009,457
10,Cliente_10,cliente10@mail.com,0000000010,499
11,Cliente_11,cliente11@mail.com,0000000011,351
12,Cliente_12,cliente12@mail.com,0000000012,447
13,Cliente_13,cliente13@mail.com,0000000013,255
14,Cliente_14,cliente14@mail.com,0000000014,52
15,Cliente_15,cliente15@mail.com,0000000015,323
16,Cliente_16,cliente16@mail.com,0000000016,195
17,Cliente_17,cliente17@mail.com,0000000017,273
18,Cliente_18,cliente18@mail.com,0000000018,431
19,Cliente_19,cliente19@mail.com,0000000019,156
20,Cliente_20,cliente20@mail.com,0000000020,541
21,Cliente_21,cliente21@mail.com,0000000021,241
22,Cliente_22,cliente22@mail.com,0000000022,203
23,Cliente_23,cliente23@mail.com,0000000023,268
24,Cliente_24,cliente24@mail.com,0000000024,488
25,Cliente_25,cliente25@mail.com,0000000025,213
26,Cliente_26,cliente26@mail.com,0000000026,520
27,Cliente_27,cliente27@mail.com,0000000027,364
28,Cliente_28,cliente28@mail.com,0000000028,484
29,Cliente_29,cliente29@mail.com,0000000029,269
30,Cliente_30,cliente30@mail.com,0000000030,322
31,Cliente_31,cliente31@mail.com,0000000031,459
32,Cliente_32,cliente32@mail.com,0000000032,226
33,Cliente_33,cliente33@mail.com,0000000033,161
34,Cliente_34,cliente34@mail.com,0000000034,368
35,Cliente_35,cliente35@mail.com,0000000035,472
36,Cliente_36,cliente36@mail.com,0000000036,470
37,Cliente_37,cliente37@mail.com,0000000037,454
38,Cliente_38,cliente38@mail.com,0000000038,545
39,Cliente_39,cliente39@mail.com,0000000039,406
40,Cliente_40,cliente40@mail.com,0000000040,287
41,Cliente_41,cliente41@mail.com,0000000041,278
42,Cliente_42,cliente42@mail.com,0000000042,132
43,Cliente_43,cliente43@mail.com,0000000043,530
44,Cliente_44,cliente44@mail.com,0000000044,203
45,Cliente_45,cliente45@mail.com,0000000045,331
46,Cliente_46,cliente46@mail.com,0000000046,12
47,Cliente_47,cliente47@mail.com,0000000047,501
48,Cliente_48,cliente48@mail.com,0000000048,503
49,Cliente_49,cliente49@mail.com,0000000049,93
50,Cliente_50,cliente50@mail.com,0000000050,231
51,Cliente_51,cliente51@mail.com,0000000051,89
52,Cliente_52,cliente52@mail.com,0000000052,468
53,Cliente_53,cliente53@mail.com,0000000053,326
54,Cliente_54,cliente54@mail.com,0000000054,106
55,Cliente_55,cliente55@mail.com,0000000055,405
56,Cliente_56,cliente56@mail.com,0000000056,120
