id_empleado,nombre_empleado,cargo,salario
1,Empleado_1,Cajero,1862490.00
2,Empleado_2,Gerente,2957957.00
3,Empleado_3,Mesero,1735579.00
4,Empleado_4,Supervisor,2485024.00
5,Empleado_5,Barista,2354549.00
6,Empleado_6,Cajero,1817638.00
7,Empleado_7,Gerente,1418473.00
8,Empleado_8,Mesero,2347451.00
9,Empleado_9,Supervisor,2223651.00
10,Empleado_10,Barista,1783863.00
11,Empleado_11,Cajero,1052807.00
12,Empleado_12,Gerente,1107309.00
13,Empleado_13,Mesero,1699277.00
14,Empleado_14,Supervisor,2865368.00
15,Empleado_15,Barista,2797165.00
16,Empleado_16,Cajero,1129596.00
17,Empleado_17,Gerente,1343230.00
18,Empleado_18,Mesero,2499116.00
19,Empleado_19,Supervisor,1971525.00
20,Empleado_20,Barista,2273846.00
21,Empleado_21,Cajero,1549700.00
22,Empleado_22,Gerente,2570075.00
23,Empleado_23,Mesero,1614482.00
24,Empleado_24,Supervisor,1176918.00
25,Empleado_25,Barista,2603649.00
26,Empleado_26,Cajero,1473535.00
27,Empleado_27,Gerente,1777407.00
28,Empleado_28,Mesero,1653734.00
29,Empleado_29,Supervisor,1079007.00
30,Empleado_30,Barista,2252933.00
31,Empleado_31,Cajero,1894044.00
32,Empleado_32,Gerente,2643793.00
33,Empleado_33,Mesero,1075157.00
34,Empleado_34,Supervisor,2338271.00
35,Empleado_35,Barista,1109399.00
36,Empleado_36,Cajero,1295606.00
37,Empleado_37,Gerente,1377559.00
38,Empleado_38,Mesero,2349655.00
39,Empleado_39,Supervisor,1000600.00
40,Empleado_40,Barista,2103208.00
41,Empleado_41,Cajero,1576367.00
42,Empleado_42,Gerente,2939565.00
43,Empleado_43,Mesero,1720614.00
44,Empleado_44,Supervisor,2289553.00
45,Empleado_45,Barista,1055647.00
46,Empleado_46,Cajero,1723919.00
47,Empleado_47,Gerente,1252257.00
48,Empleado_48,Mesero,1926392.00
49,Empleado_49,Supervisor,1776757.00
50,Empleado_50,Barista,1575184.00
51,Empleado_51,Cajero,2706625.00
52,Empleado_52,Gerente,2442668.00
53,Empleado_53,Mesero,2486979.00
54,Empleado_54,Supervisor,1343329.00
55,Empleado_55,Barista,2265805.00
56,Empleado_56,Cajero,2457482.00
57,Empleado_57,Gerente,1141080.00
58,Empleado_58,Mesero,2262953.00
59,Empleado_59,Supervisor,1546005.00
60,Empleado_60,Barista,2312319.00
61,Empleado_61,Cajero,1662792.00
62,Empleado_62,Gerente,2279767.00
63,Empleado_63,Mesero,1390383.00
64,Empleado_64,Supervisor,1631715.00
65,Empleado_65,Barista,1306940.00
66,Empleado_66,Cajero,1359593.00
67,Empleado_67,Gerente,1239674.00
68,Empleado_68,Mesero,2648311.00
69,Empleado_69,Supervisor,2343594.00
70,Empleado_70,Barista,2342044.00
71,Empleado_71,Cajero,2569284.00
72,Empleado_72,Gerente,2071992.00
73,Empleado_73,Mesero,2562903.00
74,Empleado_74,Supervisor,2535181.00
75,Empleado_75,Barista,1259443.00
76,Empleado_76,Cajero,1350871.00
77,Empleado_77,Gerente,2526306.00
78,Empleado_78,Mesero,1335504.00
79,Empleado_79,Supervisor,1382781.00
80,Empleado_80,Barista,1551990.00
81,Empleado_81,Cajero,1371892.00
82,Empleado_82,Gerente,1027717.00
83,Empleado_83,Mesero,2592020.00
84,Empleado_84,Supervisor,2767070.00
85,Empleado_85,Barista,1818305.00
86,Empleado_86,Cajero,2421261.00
87,Empleado_87,Gerente,2210027.00
88,Empleado_88,Mesero,1435923.00
89,Empleado_89,Supervisor,2884401.00
90,Empleado_90,Barista,1389499.00
91,Empleado_91,Cajero,2180646.00
92,Empleado_92,Gerente,2845554.00
93,Empleado_93,Mesero,1969959.00
94,Empleado_94,Supervisor,1787908.00
95,Empleado_95,Barista,1755398.00
96,Empleado_96,Cajero,1480635.00
97,Empleado_97,Gerente,2283485.00
98,Empleado_98,Mesero,1761562.00
99,Empleado_99,Supervisor,1569783.00
100,Empleado_100,Barista,2567928.00
101,Empleado_101,Cajero,1678467.00
102,Empleado_102,Gerente,2200881.00
103,Empleado_103,Mesero,1480145.00
104,Empleado_104,Supervisor,2297298.00
105,Empleado_105,Barista,2021184.00
106,Empleado_106,Cajero,2984470.00
107,Empleado_107,Gerente,2677523.00
108,Empleado_108,Mesero,2606402.00
109,Empleado_109,Supervisor,2084478.00
110,Empleado_110,Barista,1126079.00
111,Empleado_111,Cajero,2098252.00
112,Empleado_112,Gerente,1644367.00
113,Empleado_113,Mesero,2383838.00
114,Empleado_114,Supervisor,2792083.00
115,Empleado_115,Barista,2817223.00
116,Empleado_116,Cajero,2756508.00
117,Empleado_117,Gerente,2910379.00
118,Empleado_118,Mesero,1739596.00
119,Empleado_119,Supervisor,2996575.00
120,Empleado_120,Barista,1667100.00
121,Empleado_121,Cajero,1093736.00
122,Empleado_122,Gerente,2595891.00
123,Empleado_123,Mesero,1223921.00
124,Empleado_124,Supervisor,2306970.00
125,Empleado_125,Barista,1408961.00
126,Empleado_126,Cajero,1632375.00
127,Empleado_127,Gerente,1257877.00
128,Empleado_128,Mesero,1539121.00
129,Empleado_129,Supervisor,1648714.00
130,Empleado_130,Barista,1750067.00
131,Empleado_131,Cajero,2608550.00
132,Empleado_132,Gerente,1814374.00
133,Empleado_133,Mesero,2271838.00
134,Empleado_134,Supervisor,1511331.00
135,Empleado_135,Barista,1073062.00
136,Empleado_136,Cajero,1800309.00
137,Empleado_137,Gerente,2527423.00
138,Empleado_138,Mesero,2651089.00
139,Empleado_139,Supervisor,1049660.00
140,Empleado_140,Barista,2958445.00
141,Empleado_141,Cajero,2982270.00
142,Empleado_142,Gerente,2470509.00
143,Empleado_143,Mesero,1213563.00
144,Empleado_144,Supervisor,1683207.00
145,Empleado_145,Barista,1509538.00
146,Empleado_146,Cajero,2280637.00
147,Empleado_147,Gerente,1393140.00
148,Empleado_148,Mesero,2054110.00
149,Empleado_149,Supervisor,1134227.00
150,Empleado_150,Barista,1295875.00
151,Empleado_151,Cajero,2769191.00
152,Empleado_152,Gerente,2383554.00
153,Empleado_153,Mesero,2835161.00
154,Empleado_154,Supervisor,1452881.00
155,Empleado_155,Barista,1450379.00
156,Empleado_156,Cajero,2116461.00
157,Empleado_157,Gerente,2517853.00
158,Empleado_158,Mesero,2052362.00
159,Empleado_159,Supervisor,1467067.00
160,Empleado_160,Barista,1795333.00
161,Empleado_161,Cajero,1522680.00
162,Empleado_162,Gerente,2082438.00
163,Empleado_163,Mesero,2061816.00
164,Empleado_164,Supervisor,2464778.00
165,Empleado_165,Barista,1891396.00
166,Empleado_166,Cajero,2968274.00
167,Empleado_167,Gerente,1711909.00
168,Empleado_168,Mesero,2994322.00
169,Empleado_169,Supervisor,2576319.00
170,Empleado_170,Barista,2014161.00
171,Empleado_171,Cajero,2511707.00
172,Empleado_172,Gerente,2624359.00
173,Empleado_173,Mesero,1556200.00
174,Empleado_174,Supervisor,1272020.00
175,Empleado_175,Barista,1196899.00
176,Empleado_176,Cajero,1810691.00
177,Empleado_177,Gerente,2289329.00
178,Empleado_178,Mesero,1587002.00
179,Empleado_179,Supervisor,2471381.00
180,Empleado_180,Barista,2358884.00
181,Empleado_181,Cajero,2343123.00
182,Empleado_182,Gerente,2040522.00
183,Empleado_183,Mesero,2077556.00
184,Empleado_184,Supervisor,1494259.00
185,Empleado_185,Barista,1453638.00
186,Empleado_186,Cajero,2262991.00
187,Empleado_187,Gerente,2379396.00
188,Empleado_188,Mesero,2780452.00
189,Empleado_189,Supervisor,2852804.00
190,Empleado_190,Barista,2603959.00
191,Empleado_191,Cajero,2576999.00
192,Empleado_192,Gerente,2456813.00
193,Empleado_193,Mesero,1013252.00
194,Empleado_194,Supervisor,2490301.00
195,Empleado_195,Barista,2950022.00
196,Empleado_196,Cajero,2682964.00
197,Empleado_197,Gerente,2179080.00
198,Empleado_198,Mesero,2339183.00
199,Empleado_199,Supervisor,2027811.00
200,Empleado_200,Barista,2677824.00
201,Empleado_201,Cajero,1014977.00
202,Empleado_202,Gerente,2240471.00
203,Empleado_203,Mesero,2190417.00
204,Empleado_204,Supervisor,1186269.00
205,Empleado_205,Barista,1200730.00
206,Empleado_206,Cajero,1685601.00
207,Empleado_207,Gerente,2111165.00
208,Empleado_208,Mesero,2065127.00
209,Empleado_209,Supervisor,2842581.00
210,Empleado_210,Barista,1359758.00
211,Empleado_211,Cajero,1818095.00
212,Empleado_212,Gerente,2109265.00
213,Empleado_213,Mesero,1753205.00
214,Empleado_214,Supervisor,2831269.00
215,Empleado_215,Barista,2752388.00
216,Empleado_216,Cajero,2842714.00
217,Empleado_217,Gerente,1976912.00
218,Empleado_218,Mesero,2774783.00
219,Empleado_219,Supervisor,1314390.00
220,Empleado_220,Barista,2578053.00
221,Empleado_221,Cajero,2562953.00
222,Empleado_222,Gerente,1761904.00
223,Empleado_223,Mesero,2859741.00
224,Empleado_224,Supervisor,2269919.00
225,Empleado_225,Barista,1314619.00
226,Empleado_226,Cajero,1773407.00
227,Empleado_227,Gerente,1534155.00
228,Empleado_228,Mesero,2498693.00
229,Empleado_229,Supervisor,2685818.00
230,Empleado_230,Barista,2624751.00
231,Empleado_231,Cajero,1925240.00
232,Empleado_232,Gerente,1162158.00
233,Empleado_233,Mesero,2464835.00
234,Empleado_234,Supervisor,2843776.00
235,Empleado_235,Barista,2809026.00
236,Empleado_236,Cajero,2157356.00
237,Empleado_237,Gerente,2964955.00
238,Empleado_238,Mesero,1612567.00
239,Empleado_239,Supervisor,1078047.00
240,Empleado_240,Barista,2651208.00
241,Empleado_241,Cajero,1735125.00
242,Empleado_242,Gerente,1624250.00
243,Empleado_243,Mesero,1124651.00
244,Empleado_244,Supervisor,1742640.00
245,Empleado_245,Barista,2842306.00
246,Empleado_246,Cajero,2609690.00
